D,Time,Project,Task,Day,Hours
,,,,,
3,9-2,HOLIDAY,July 4,MON,5.0
,,,,,
4,9-2,HOLIDAY,July 4,TUE,5.0
,,,,,
5,9-10,ETL,MTD DAQ,WED,1.0
5,10-10:30,ADMIN,EDF Meeting,WED,0.5
5,10:30-12:30,ADMIN,EDF Committee,WED,2.0
5,12:30-1,--,Jay,WED,0.5
5,2:15-4,ETL,Group Meeting,WED,1.75
,,,,,
6,10:30-2,ETL,Naomi; Firmware; Software,THU,3.5
,,,,,
7,9-11,ETL,Tech support; Firmware,FRI,2.0
7,11-12,ETL,Firmware update,FRI,1.0
,,,,,
8,9-10:30,ETL,Firmware update,SAT,1.5
,,,,,
,,,,,
10,9-12,L0MDT,Workshop,MON,3.0
10,12-1,ADMIN,Madorsky,MON,1.0
10,1:30-2,--,Doctors appt,MON,0.5
,,,,,
11,9-3:30,L0MDT,Workshop,TUE,6.5
11,3:30-4:15,ETL,Firmware,TUE,0.75
,,,,,
12,9-11:30,L0MDT,Workshop,WED,2.5
12,11:30-12:30,ETL,Meeting,WED,1.0
12,12:30-1,L0MDT,Workshop,WED,0.5
12,1-1:30,ADMIN,Madorsky,WED,0.5
12,1:30-3,L0MDT,Workshop,WED,1.5
,,,,,
13,9-12,L0MDT,Workshop,THU,3.0
13,1-2,ME0,Meeting,THU,1.0
14,2-3,ETL,Naomi,FRI,1.0
,,,,,
14,9-11,L0MDT,Workshop,FRI,2.0
14,11-12,YOUNGER-MISC,Meeting,FRI,1.0
14,12-2,ETL,ETROC mods,FRI,2.0
,,,,,
,,,,,
17,9-12,L0MDT,Workshop,MON,3.0
17,12-1,ETL,Naomi,MON,1.0
17,9-2,L0MDT,Workshop,MON,5.0
,,,,,
18,9-12,L0MDT,Workshop,TUE,3.0
18,12-1,YOUNGER-MISC,PCB,TUE,1.0
18,1-4,ETL,Naomi,TUE,3.0
18,4-5,L0MDT,Workshop,TUE,1.0
,,,,,
19,9-11,L0MDT,Workshop,WED,2.0
19,11-12:30,ETL,Naomi; Chloe,WED,1.5
19,3:30-4,ADMIN,Interview,WED,0.5
,,,,,
20,9-12,L0MDT,Workshop,THU,3.0
20,12-2,ETL,Naomi; Chloe,THU,2.0
20,2-6,L0MDT,Workshop,THU,4.0
,,,,,
21,9-11,ADMIN,Admin,FRI,2.0
21,11-12,L0MDT,Workshop,FRI,1.0
21,12-12:30,YOUNGER-MISC,Orders,FRI,0.5
21,12:30-3,L0MDT,Workshop,FRI,2.5
21,3-4,ETL,RB; ETROC FW,FRI,1.0
,,,,,
,,,,,
24,9-11,ETL,Naomi; Chloe; Modification instructions,MON,2.0
24,11-12,ADMIN,Admin meeting,MON,1.0
24,12-1,ETL,FW,MON,1.0
24,1-2,L0MDT,Meeting,MON,1.0
,,,,,
25,9-10,ETL,FW,TUE,1.0
25,10-11,ETL,Naomi,TUE,1.0
25,11-12,ME0,Meeting,TUE,1.0
25,12-1,ETL,FW,TUE,1.0
,,,,,
26,8:30-9,L0MDT,FW; debug w/ Davide,WED,0.5
26,9-9:30,ETL,FW,WED,0.5
26,9:30-10,ETL,NIM converter,WED,0.5
26,10-10:30,L0MDT,FW,WED,0.5
,,,,,
27,1-2,ME0,Meeting,THU,1.0
,,,,,

