Project Date     Hours Prcnt  Cost
L0MDT   2021-07  16.00  9.2%  $1424.00
L0MDT   2021-08  45.00 27.4%  $4005.00
L0MDT   2021-09  25.00 14.8%  $2225.00
L0MDT   2021-10  48.00 29.9%  $4272.00
L0MDT   2021-11  58.00 35.2%  $5162.00
L0MDT   2021-12  52.00 29.1%  $4628.00
L0MDT   2022-01  70.00 47.0%  $6230.00
L0MDT   2022-02  12.50  8.2%  $1112.50
L0MDT   2022-03  19.50 11.6%  $1735.50
L0MDT   2022-04  21.00 13.8%  $1869.00
L0MDT   2022-05  26.50 19.1%  $2358.50
L0MDT   2022-06  18.50 12.2%  $1646.50
L0MDT   2022-07   4.50  3.0%  $400.50
L0MDT   2022-08   4.50  4.1%  $400.50
L0MDT   2022-09  10.00  7.7%  $890.00
L0MDT   2022-10   4.00  2.9%  $356.00
L0MDT   2022-11   1.50  1.1%  $133.50
L0MDT   2022-12   3.50  2.8%  $311.50
L0MDT   2023-01   7.00  5.9%  $623.00
L0MDT   2023-02   3.00  3.6%  $267.00
ME0     2021-01   8.00  5.6%  $712.00
ME0     2021-02   7.50  6.5%  $667.50
ME0     2021-03  12.50  8.0%  $1112.50
ME0     2021-04  33.00 20.0%  $2937.00
ME0     2021-05  24.50 15.3%  $2180.50
ME0     2021-06   6.50  3.5%  $578.50
ME0     2021-07  18.00 10.3%  $1602.00
ME0     2021-08  18.00 11.0%  $1602.00
ME0     2021-09  34.00 20.1%  $3026.00
ME0     2021-10  15.50  9.7%  $1379.50
ME0     2021-11  17.50 10.6%  $1557.50
ME0     2021-12   5.50  3.1%  $489.50
ME0     2022-01   8.00  5.4%  $712.00
ME0     2022-02  12.50  8.2%  $1112.50
ME0     2022-03   9.50  5.7%  $845.50
ME0     2022-04   8.00  5.2%  $712.00
ME0     2022-05  13.00  9.4%  $1157.00
ME0     2022-06  13.50  8.9%  $1201.50
ME0     2022-07  16.00 10.6%  $1424.00
ME0     2022-08  18.00 16.3%  $1602.00
ME0     2022-09  16.50 12.7%  $1468.50
ME0     2022-10   9.50  6.9%  $845.50
ME0     2022-11  13.00  9.5%  $1157.00
ME0     2022-12  16.50 13.0%  $1468.50
ME0     2023-01   9.50  8.0%  $845.50
ME0     2023-02  22.50 27.1%  $2002.50
OTHER   2021-03   7.00  4.5%  $623.00
OTHER   2021-04   5.50  3.3%  $489.50
OTHER   2021-05   7.50  4.7%  $667.50
OTHER   2021-06  24.00 13.0%  $2136.00
OTHER   2021-07   9.50  5.4%  $845.50
OTHER   2021-08   1.50  0.9%  $133.50
OTHER   2021-09   2.00  1.2%  $178.00
OTHER   2021-11   3.00  1.8%  $267.00
OTHER   2022-01   7.50  5.0%  $667.50
OTHER   2022-02   6.50  4.3%  $578.50
OTHER   2022-03   7.50  4.5%  $667.50
OTHER   2022-04   1.00  0.7%  $89.00
OTHER   2022-05   0.50  0.4%  $44.50
OTHER   2022-08  11.00 10.0%  $979.00
OTHER   2022-10   4.50  3.3%  $400.50
OTHER   2023-01   4.00  3.4%  $356.00
OTHER   2023-02   1.50  1.8%  $133.50
